SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
1115A - REMEDIES DRINK CAN,1115 - REMEDIES DRINK,CHILLER,1.68,1.67,-0.006,712.5,477.67,-0.3296,1.23,1.29,0.0488,13300.0,13693.0,0.0295,16359.0,17664.0,0.0798,1154.0,1112.0,-0.0364
1115C - REMEDIES DRINK PET 150-350ML,1115 - REMEDIES DRINK,CHILLER,1.7,1.61,-0.0529,510.5,266.33,-0.4783,1.19,1.17,-0.0168,13903.0,13388.0,-0.037,16545.0,15664.0,-0.0532,855.0,685.0,-0.1988
1115D - REMEDIES DRINK PET 500-600ML,1115 - REMEDIES DRINK,CHILLER,1.73,1.38,-0.2023,345.5,155.33,-0.5504,1.19,1.18,-0.0084,15028.0,12900.0,-0.1416,17883.0,15222.0,-0.1488,580.0,395.0,-0.319
1116A - VITAMIN DRINK 100-150ML,1116 - VITAMIN DRINK,CHILLER,1.65,1.68,0.0182,737.5,342.0,-0.5363,1.21,1.25,0.0331,12959.0,13443.0,0.0373,15680.0,16804.0,0.0717,1214.0,819.0,-0.3254
1116B - VITAMIN DRINK 300-500ML,1116 - VITAMIN DRINK,CHILLER,1.84,1.43,-0.2228,94.5,82.0,-0.1323,1.16,1.2,0.0345,13930.0,11020.0,-0.2089,16159.0,13224.0,-0.1816,163.0,205.0,0.2577
1117A - YOGHURT BEVERAGE,1117 - YOGHURT BEVERAGE,CHILLER,1.63,1.43,-0.1227,235.5,146.33,-0.3786,1.21,1.29,0.0661,14322.0,10716.0,-0.2518,17330.0,13824.0,-0.2023,390.0,341.0,-0.1256
1118A - CARBONATED MALT,1118 - CARBONATED MALT,CHILLER,2.69,1.98,-0.2639,97.0,39.33,-0.5945,1.16,1.11,-0.0431,21337.0,16794.0,-0.2129,24751.0,18641.0,-0.2469,167.0,106.0,-0.3653
1118B - CARBONATED MALT PACK,1118 - CARBONATED MALT,CHILLER,1.22,1.2,-0.0164,20.5,10.0,-0.5122,1.05,1.25,0.1905,9976.0,9877.0,-0.0099,10475.0,12346.0,0.1786,39.0,24.0,-0.3846
1121C - GRASS JELLY,1121 - DESSERT,CHILLER,1.29,1.28,-0.0078,181.5,77.67,-0.5721,1.16,1.14,-0.0172,10867.0,12224.0,0.1249,12606.0,13935.0,0.1054,312.0,204.0,-0.3462
1151B - JUICE TETRAPACK 125-150ML,1151 - RTD JUICE,CHILLER,1.43,1.47,0.028,10.5,5.67,-0.46,1.11,1.13,0.018,6148.0,6329.0,0.0294,6824.0,7152.0,0.0481,19.0,15.0,-0.2105
